SKU,REGION_CD,REG_PRICE,CURR_PRICE,PRICE_TYPE,PROMO_ID,PROMO_EFF_DT,PROMO_END_DT,LAST_UPD_JOB
10004410,NE,149.00,149.00,R,,,,PRCLOAD0
10004410,SE,149.00,149.00,R,,,,PRCLOAD0
10004410,MW,149.00,149.00,R,,,,PRCLOAD0
10004410,WC,149.00,149.00,R,,,,PRCLOAD0
10004410,NC,149.00,149.00,R,,,,PRCLOAD0
10012233,NE,4.28,4.28,R,,,,PRCLOAD0
10012233,SE,4.28,4.28,R,,,,PRCLOAD0
10012233,MW,4.28,4.28,R,,,,PRCLOAD0
10012233,WC,4.28,4.28,R,,,,PRCLOAD0
10012233,NC,4.28,4.28,R,,,,PRCLOAD0
10020977,NE,38.98,38.98,R,,,,PRCLOAD0
10020977,SE,38.98,38.98,R,,,,PRCLOAD0
10020977,MW,38.98,33.09,P,PRM2026112,2026-09-15,2026-09-28,PRCUPD01
10020977,WC,38.98,38.98,R,,,,PRCLOAD0
10020977,NC,38.98,38.98,R,,,,PRCLOAD0
10033120,NE,249.00,249.00,R,,,,PRCLOAD0
10033120,SE,249.00,249.00,R,,,,PRCLOAD0
10033120,MW,249.00,249.00,R,,,,PRCLOAD0
10033120,WC,249.00,249.00,R,,,,PRCLOAD0
10033120,NC,249.00,249.00,R,,,,PRCLOAD0
10041555,NE,9.98,9.98,R,,,,PRCLOAD0
10041555,SE,9.98,9.98,R,,,,PRCLOAD0
10041555,MW,9.98,9.98,R,,,,PRCLOAD0
10041555,WC,9.98,9.98,R,,,,PRCLOAD0
10041555,NC,9.98,9.98,R,,,,PRCLOAD0
10057890,NE,99.99,79.99,P,PRM2026081,2026-08-15,2026-09-14,PRCUPD01
10057890,SE,99.99,99.99,R,,,,PRCLOAD0
10057890,MW,99.99,99.99,R,,,,PRCLOAD0
10057890,WC,99.99,99.99,R,,,,PRCLOAD0
10057890,NC,99.99,99.99,R,,,,PRCLOAD0
10061234,NE,54.98,54.98,R,,,,PRCLOAD0
10061234,SE,54.98,54.98,R,,,,PRCLOAD0
10061234,MW,54.98,54.98,R,,,,PRCLOAD0
10061234,WC,54.98,54.98,R,,,,PRCLOAD0
10061234,NC,54.98,54.98,R,,,,PRCLOAD0
10078812,NE,749.00,749.00,R,,,,PRCLOAD0
10078812,SE,749.00,749.00,R,,,,PRCLOAD0
10078812,MW,749.00,749.00,R,,,,PRCLOAD0
10078812,WC,749.00,749.00,R,,,,PRCLOAD0
10078812,NC,749.00,749.00,R,,,,PRCLOAD0
10082345,NE,498.00,498.00,R,,,,PRCLOAD0
10082345,SE,498.00,498.00,R,,,,PRCLOAD0
10082345,MW,498.00,498.00,R,,,,PRCLOAD0
