SKU,REGION_CD,REG_PRICE,CURR_PRICE,PRICE_TYPE,PROMO_ID,PROMO_EFF_DT,PROMO_END_DT,LAST_UPD_JOB
10004410,NE,149.00,119.19,P,PRM2026120,2026-09-21,2026-10-05,PRCUPD01
10004410,SE,149.00,119.19,P,PRM2026120,2026-09-21,2026-10-05,PRCUPD01
10004410,MW,149.00,119.19,P,PRM2026120,2026-09-21,2026-10-05,PRCUPD01
10004410,WC,149.00,119.19,P,PRM2026120,2026-09-21,2026-10-05,PRCUPD01
10004410,NC,149.00,128.69,P,PRM2026120,2026-09-21,2026-10-05,PRCUPD01
10012233,NE,4.28,4.28,R,,,,PRCLOAD0
10012233,SE,4.28,4.28,R,,,,PRCLOAD0
10012233,MW,4.28,4.28,R,,,,PRCLOAD0
10012233,WC,4.28,3.59,P,PRM2026121,2026-09-20,2026-10-04,PRCUPD01
10012233,NC,4.28,4.28,R,,,,PRCLOAD0
10020977,NE,38.98,38.98,R,,,,PRCLOAD0
10020977,SE,38.98,38.98,R,,,,PRCLOAD0
10020977,MW,38.98,33.09,P,PRM2026112,2026-09-15,2026-09-28,PRCUPD01
10020977,WC,38.98,38.98,R,,,,PRCLOAD0
10020977,NC,38.98,38.98,R,,,,PRCLOAD0
10033120,NE,249.00,198.99,P,PRM2026138,2026-09-21,2026-10-04,PRCUPD01
10033120,SE,249.00,198.99,P,PRM2026138,2026-09-21,2026-10-04,PRCUPD01
10033120,MW,249.00,198.99,P,PRM2026138,2026-09-21,2026-10-04,PRCUPD01
10033120,WC,249.00,198.99,P,PRM2026138,2026-09-21,2026-10-04,PRCUPD01
10033120,NC,249.00,214.89,P,PRM2026138,2026-09-21,2026-10-04,PRCUPD01
10041555,NE,9.98,6.39,P,PRM2026122,2026-09-21,2026-09-27,PRCUPD01
10041555,SE,9.98,6.39,P,PRM2026122,2026-09-21,2026-09-27,PRCUPD01
10041555,MW,9.98,6.39,P,PRM2026122,2026-09-21,2026-09-27,PRCUPD01
10041555,WC,9.98,6.39,P,PRM2026122,2026-09-21,2026-09-27,PRCUPD01
10041555,NC,9.98,9.98,R,,,,PRCLOAD0
10057890,NE,99.99,99.99,R,,,,PRCUPD01
10057890,SE,99.99,74.99,P,PRM2026125,2026-09-21,2026-10-12,PRCUPD01
10057890,MW,99.99,99.99,R,,,,PRCLOAD0
10057890,WC,99.99,99.99,R,,,,PRCLOAD0
10057890,NC,99.99,99.99,R,,,,PRCLOAD0
10061234,NE,54.98,54.98,R,,,,PRCLOAD0
10061234,SE,54.98,54.98,R,,,,PRCLOAD0
10061234,MW,54.98,54.98,R,,,,PRCLOAD0
10061234,WC,54.98,54.98,R,,,,PRCLOAD0
10061234,NC,54.98,54.98,R,,,,PRCLOAD0
10078812,NE,749.00,749.00,R,,,,PRCLOAD0
10078812,SE,749.00,749.00,R,,,,PRCLOAD0
10078812,MW,749.00,749.00,R,,,,PRCLOAD0
10078812,WC,749.00,749.00,R,,,,PRCLOAD0
10078812,NC,749.00,749.00,R,,,,PRCLOAD0
10082345,NE,498.00,273.09,P,PRM2026123,2026-09-21,2026-10-19,PRCUPD01
10082345,SE,498.00,273.09,P,PRM2026123,2026-09-21,2026-10-19,PRCUPD01
10082345,MW,498.00,273.09,P,PRM2026123,2026-09-21,2026-10-19,PRCUPD01
10082345,WC,498.00,273.09,P,PRM2026123,2026-09-21,2026-10-19,PRCUPD01
10082345,NC,498.00,290.39,P,PRM2026123,2026-09-21,2026-10-19,PRCUPD01
10090011,NE,699.00,699.00,R,,,,PRCLOAD0
10090011,SE,699.00,539.09,P,PRM2026124,2026-09-15,2026-09-30,PRCUPD01
10090011,MW,699.00,699.00,R,,,,PRCLOAD0
10090011,WC,699.00,699.00,R,,,,PRCLOAD0
10090011,NC,699.00,699.00,R,,,,PRCLOAD0
10101010,NE,39.98,39.98,R,,,,PRCLOAD0
10101010,SE,39.98,39.98,R,,,,PRCLOAD0
10101010,MW,39.98,39.98,R,,,,PRCLOAD0
10101010,WC,39.98,39.98,R,,,,PRCLOAD0
10101010,NC,39.98,39.98,R,,,,PRCLOAD0
10115566,NE,79.98,79.98,R,,,,PRCLOAD0
10115566,SE,79.98,79.98,R,,,,PRCLOAD0
10115566,MW,79.98,79.98,R,,,,PRCLOAD0
10115566,WC,79.98,79.98,R,,,,PRCLOAD0
10115566,NC,79.98,79.98,R,,,,PRCLOAD0
10123344,NE,179.00,179.00,R,,,,PRCLOAD0
10123344,SE,179.00,179.00,R,,,,PRCLOAD0
10123344,MW,179.00,179.00,R,,,,PRCLOAD0
10123344,WC,179.00,179.00,R,,,,PRCLOAD0
10123344,NC,179.00,179.00,R,,,,PRCLOAD0
10138800,NE,29.98,29.98,R,,,,PRCLOAD0
10138800,SE,29.98,29.98,R,,,,PRCLOAD0
10138800,MW,29.98,29.98,R,,,,PRCLOAD0
10138800,WC,29.98,29.98,R,,,,PRCLOAD0
10138800,NC,29.98,28.49,P,PRM2026136,2026-09-21,2026-10-04,PRCUPD01
10144477,NE,24.97,24.97,R,,,,PRCLOAD0
10144477,SE,24.97,24.97,R,,,,PRCLOAD0
10144477,MW,24.97,24.97,R,,,,PRCLOAD0
10144477,WC,24.97,24.97,R,,,,PRCLOAD0
10144477,NC,24.97,24.97,R,,,,PRCLOAD0
10150022,NE,164.00,129.89,P,PRM2026133,2026-09-21,2026-09-28,PRCUPD01
10150022,SE,164.00,164.00,R,,,,PRCLOAD0
10150022,MW,164.00,164.00,R,,,,PRCLOAD0
10150022,WC,164.00,164.00,R,,,,PRCLOAD0
10150022,NC,164.00,164.00,R,,,,PRCLOAD0
10166789,NE,399.00,399.00,R,,,,PRCLOAD0
10166789,SE,399.00,399.00,R,,,,PRCLOAD0
10166789,MW,399.00,287.19,P,PRM2026135,2026-09-21,2026-10-04,PRCUPD01
10166789,WC,399.00,399.00,R,,,,PRCLOAD0
10166789,NC,399.00,399.00,R,,,,PRCLOAD0
10171122,NE,14.98,14.98,R,,,,PRCLOAD0
10171122,SE,14.98,14.98,R,,,,PRCLOAD0
10171122,MW,14.98,14.98,R,,,,PRCLOAD0
10171122,WC,14.98,13.39,P,PRM2026134,2026-09-21,2026-10-04,PRCUPD01
10171122,NC,14.98,14.98,R,,,,PRCLOAD0
10188899,NE,449.00,449.00,R,,,,PRCLOAD0
10188899,SE,449.00,449.00,R,,,,PRCUPD01
10188899,MW,449.00,449.00,R,,,,PRCLOAD0
10188899,WC,449.00,449.00,R,,,,PRCLOAD0
10188899,NC,449.00,449.00,R,,,,PRCLOAD0
10199001,NE,349.00,314.09,P,PRM2026132,2026-09-21,2026-10-04,PRCUPD01
10199001,SE,349.00,314.09,P,PRM2026132,2026-09-21,2026-10-04,PRCUPD01
10199001,MW,349.00,314.09,P,PRM2026132,2026-09-21,2026-10-04,PRCUPD01
10199001,WC,349.00,314.09,P,PRM2026132,2026-09-21,2026-10-04,PRCUPD01
