HIST_SEQ,SKU,REGION_CD,OLD_PRICE,NEW_PRICE,PROMO_ID,CHANGE_DT,CHANGE_RSN,JOB_NAME
1001,10057890,NE,99.99,79.99,PRM2026081,2026-08-15,PROMO,PRCUPD01
1002,10188899,SE,449.00,399.00,PRM2026090,2026-09-05,PROMO,PRCUPD01
1003,10020977,MW,38.98,33.09,PRM2026112,2026-09-15,PROMO,PRCUPD01
1004,10057890,NE,79.99,99.99,PRM2026081,2026-09-21,EXPIRE,PRCUPD01
1005,10188899,SE,399.00,449.00,PRM2026090,2026-09-21,EXPIRE,PRCUPD01
1006,10004410,NE,149.00,119.19,PRM2026120,2026-09-21,PROMO,PRCUPD01
1007,10004410,SE,149.00,119.19,PRM2026120,2026-09-21,PROMO,PRCUPD01
1008,10004410,MW,149.00,119.19,PRM2026120,2026-09-21,PROMO,PRCUPD01
1009,10004410,WC,149.00,119.19,PRM2026120,2026-09-21,PROMO,PRCUPD01
1010,10004410,NC,149.00,128.69,PRM2026120,2026-09-21,RGNOVR,PRCUPD01
1011,10012233,WC,4.28,3.59,PRM2026121,2026-09-21,RGNOVR,PRCUPD01
1012,10033120,NE,249.00,198.99,PRM2026138,2026-09-21,PROMO,PRCUPD01
1013,10033120,SE,249.00,198.99,PRM2026138,2026-09-21,PROMO,PRCUPD01
1014,10033120,MW,249.00,198.99,PRM2026138,2026-09-21,PROMO,PRCUPD01
1015,10033120,WC,249.00,198.99,PRM2026138,2026-09-21,PROMO,PRCUPD01
1016,10033120,NC,249.00,214.89,PRM2026138,2026-09-21,RGNOVR,PRCUPD01
1017,10041555,NE,9.98,6.39,PRM2026122,2026-09-21,FLOOR,PRCUPD01
1018,10041555,SE,9.98,6.39,PRM2026122,2026-09-21,FLOOR,PRCUPD01
1019,10041555,MW,9.98,6.39,PRM2026122,2026-09-21,FLOOR,PRCUPD01
1020,10041555,WC,9.98,6.39,PRM2026122,2026-09-21,FLOOR,PRCUPD01
1021,10057890,SE,99.99,74.99,PRM2026125,2026-09-21,PROMO,PRCUPD01
1022,10082345,NE,498.00,272.99,PRM2026123,2026-09-21,FLOOR,PRCUPD01
1023,10082345,SE,498.00,272.99,PRM2026123,2026-09-21,FLOOR,PRCUPD01
1024,10082345,MW,498.00,272.99,PRM2026123,2026-09-21,FLOOR,PRCUPD01
1025,10082345,WC,498.00,272.99,PRM2026123,2026-09-21,FLOOR,PRCUPD01
1026,10082345,NC,498.00,290.39,PRM2026123,2026-09-21,RGNOVR,PRCUPD01
1027,10090011,SE,699.00,539.09,PRM2026124,2026-09-21,PROMO,PRCUPD01
1028,10138800,NC,29.98,28.49,PRM2026136,2026-09-21,RGNOVR,PRCUPD01
1029,10150022,NE,164.00,129.89,PRM2026133,2026-09-21,FLOOR,PRCUPD01
1030,10166789,MW,399.00,287.19,PRM2026135,2026-09-21,PROMO,PRCUPD01
1031,10171122,WC,14.98,13.39,PRM2026134,2026-09-21,PROMO,PRCUPD01
1032,10199001,NE,349.00,314.09,PRM2026132,2026-09-21,PROMO,PRCUPD01
1033,10199001,SE,349.00,314.09,PRM2026132,2026-09-21,PROMO,PRCUPD01
1034,10199001,MW,349.00,314.09,PRM2026132,2026-09-21,PROMO,PRCUPD01
1035,10199001,WC,349.00,314.09,PRM2026132,2026-09-21,PROMO,PRCUPD01
