1000100000AADCASH - OPERATING              00000000         
1100200000AADACCOUNTS RECEIVABLE - TRADE   00000000         
1200300000AADINVENTORY - STORES            00000000         
1500100000AADFIXED ASSETS - EQUIPMENT      00000000         
2000100000LACACCOUNTS PAYABLE - TRADE      00000000         
2100200000LACACCRUED PAYROLL               00000000         
2300100000LACSALES TAX PAYABLE             00000000         
3000100000QACRETAINED EARNINGS             00000000         
4000100000RACSALES - MERCHANDISE           00000000         
4100100000RACSALES - INSTALLATION SERVICES 00000000         
5000100000EADCOST OF GOODS SOLD            00000000         
6000100000EADPAYROLL EXPENSE               00000000         
6100200000EADSTORE SUPPLIES EXPENSE        00000000         
6200300000EFDMARKETING - LEGACY PROGRAM    00000000         
6900900000ECDDISCONTINUED PROGRAM EXPENSE  20250131         
