10004410DEWALT 20V MAX DRILL KIT      TOOLPWRTA00089000014900015EAV10021        
100122332X4X8 KD SPF STUD             LUMBDIMLA00002850000428010EAV20455        
10020977BEHR PREMIUM INT PAINT GAL    PAININTPA00021500003898020GLV30112        
10033120KOHLER 1.28 GPF TOILET        PLMBTOILA00148000024900012EAV40018        
10041555LED BULB 60W EQUIV 4PK        ELECLGHTA00005100000998025PKV50301        
10057890RING VIDEO DOORBELL           ELECSMRTA00062000009999010EAV50777        
10061234SCOTTS TURF BUILDER 15M       GARDLAWNA00034000005498015BGV60209        
10078812WHIRLPOOL TOP LOAD WASHER     APPLLNDRA00520000074900008EAV70044        
10082345HUSKY 52IN 9-DRAWER TOOL CHESTTOOLSTORC00260000049800005EAV10388        
10090011PATIO SET 5PC WICKER          GARDOUTDC00410000069900005STV60515        
10101010PEX 1/2IN X 100FT ROLL        PLMBPIPEA00024000003998020RLV40233        
10115566SHOP VAC 12GAL 5HP            TOOLCLEAD00048000007998010EAV10902        
10123344MOEN PULLDOWN KITCHEN FAUCET  PLMBFAUCA00096000017900015EAV40611        
10138800LAMINATE FLOORING 8MM 20SQFT  FLORLAMIA00018200002998012BXV80127        
10144477SMOKE DETECTOR 2PK            HDWRSAFEA00014000002497020PKV90045        
10150022ROMEX 12/2 NM-B 250FT         ELECWIREA00118000016400010RLV50120        
10166789PRESSURE WASHER 3000PSI GAS   TOOLOPE C00245000039900005EAV10777        
10171122TREATED 4X4X8 POST            LUMBTRTDA00009400001498010EAV20455        
10188899CORDLESS MOWER 21IN 60V       GARDOPE A00310000044900010EAV60888        
10199001QUARTZ VANITY TOP 37IN        KITCVANTA00210000034900012EAV95010        
